Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DDD,3D Systems Corporation,14.03,$1.59B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,
MMM,3M Company,190.33,$113.47B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,12.78,$530.35M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,37.6,$5.44B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,
AHC,A.H. Belo Corporation,6.25,$135.48M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,
ATEN,"A10 Networks, Inc.",9.02,$616.49M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",8.64,$204.69M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,33.29,$1.14B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",28.84,$2.09B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,22.57,$48.21B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,44.8,$77.41B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,65.67,$104.67B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,11.64,$787.74M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,
GCH,"Aberdeen Greater China Fund, Inc.",9.69,$86.87M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.77,$104.5M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,
SGF,"Aberdeen Singapore Fund, Inc.",10.391,$78.52M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,
ABM,ABM Industries Incorporated,43.51,$2.42B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,30.3,$2.57B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,
ACN,Accenture plc,123.91,$79.79B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,12.9,$1.39B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",10,$38.27M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,
ATU,Actuant Corporation,27.9,$1.65B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,
AYI,Acuity Brands Inc,205.75,$9.07B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,17.43,$1.29B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",13.72,$1.36B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",19.03,$543.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo,
AGRO,Adecoagro S.A.,11.89,$1.44B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,
ADPT,Adeptus Health Inc.,1.48,$31.26M,2014,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt,
ADNT,Adient plc,74.16,$6.95B,2016,n/a,n/a,http://www.nasdaq.com/symbol/adnt,
AAP,Advance Auto Parts Inc,153.71,$11.34B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,
ADSW,"Advanced Disposal Services, Inc.",22.91,$2.02B,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw,
WMS,"Advanced Drainage Systems, Inc.",22.05,$1.22B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,
ASX,"Advanced Semiconductor Engineering, Inc.",6.17,$9.84B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,
APFH,"AdvancePierre Foods Holdings, Inc.",30.41,$2.38B,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh,
ASIX,AdvanSix Inc.,26.31,$802.01M,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix,
AAV,Advantage Oil & Gas Ltd,5.85,$1.08B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,
AVK,Advent Claymore Convertible Securities and Income Fund,15.16,$357.49M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,
AGC,Advent Claymore Convertible Securities and Income Fund II,5.97,$192.22M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.37,$113.86M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm,
ACM,AECOM,35.72,$5.55B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,
ANW,Aegean Marine Petroleum Network Inc.,11.2,$441.32M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,
AEB,Aegon NV,24.3887,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,
AED,Aegon NV,25.66,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,
AEG,Aegon NV,5.69,$12B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,
AEH,Aegon NV,25.3,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,
AEK,Aegon NV,25.85,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek,
AER,Aercap Holdings N.V.,45.12,$8.2B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer,
HIVE,"Aerohive Networks, Inc.",4.15,$217.02M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",21.88,$1.64B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd,
AET,Aetna Inc.,131.96,$43.67B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,
AMG,"Affiliated Managers Group, Inc.",164.29,$9.32B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,
MGR,"Affiliated Managers Group, Inc.",25.45,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr,
AFL,Aflac Incorporated,71.84,$28.84B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,
AFSD,Aflac Incorporated,25.03,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd,
MITT,"AG Mortgage Investment Trust, Inc.",17.37,$481.18M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt,
MITT^A,"AG Mortgage Investment Trust, Inc.",24.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a,
MITT^B,"AG Mortgage Investment Trust, Inc.",24.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b,
AGCO,AGCO Corporation,59.31,$4.71B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco,
A,"Agilent Technologies, Inc.",52.21,$16.83B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a,
AEM,Agnico Eagle Mines Limited,39.92,$9.01B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem,
ADC,Agree Realty Corporation,46.68,$1.22B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc,
AGU,Agrium Inc.,95.19,$13.15B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu,
AL,Air Lease Corporation,38.88,$4B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al,
APD,"Air Products and Chemicals, Inc.",136.18,$29.63B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,
AYR,Aircastle Limited,23.35,$1.83B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr,
AKS,AK Steel Holding Corporation,7.95,$2.5B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks,
ALP^O,Alabama Power Company,28.95,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o,
ALG,"Alamo Group, Inc.",73.65,$848.08M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,6.84,$2.04B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi,
ALK,"Alaska Air Group, Inc.",94.5,$11.67B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk,
AIN,Albany International Corporation,44.25,$1.42B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,103.95,$11.7B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb,
AA,Alcoa Corporation,34.19,$6.25B,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa,
ALR,Alere Inc.,37.01,$3.22B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr,
ALR^B,Alere Inc.,315,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b,
ALEX,"Alexander & Baldwin Holdings, Inc.",43.11,$2.12B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex,
ALX,"Alexander&#39;s, Inc.",411.42,$2.1B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx,
ARE,"Alexandria Real Estate Equities, Inc.",108.18,$9.61B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are,
ARE^D,"Alexandria Real Estate Equities, Inc.",34.51,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d,
ARE^E.CL,"Alexandria Real Estate Equities, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e.cl,
AQN,Algonquin Power & Utilities Corp.,9.225,$3.44B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn,
BABA,Alibaba Group Holding Limited,104.25,$260.63B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba,
Y,Alleghany Corporation,641.89,$9.89B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,17.42,$1.89B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati,
ALLE,Allegion plc,74.37,$7.1B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle,
AGN,Allergan plc.,239.45,$80.27B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn,
AGN^A,Allergan plc.,846.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a,
ALE,"Allete, Inc.",65.38,$3.27B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale,
AKP,Alliance California Municipal Income Fund Inc,13.1,$112.07M,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp,
ADS,Alliance Data Systems Corporation,245.53,$13.73B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,12.96,$372.53M,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb,
AOI,"Alliance One International, Inc.",13.9,$135.31M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi,
AWF,Alliance World Dollar Government Fund II,12.3,$1.06B,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf,
AB,AllianceBernstein Holding L.P.,22.55,$2.18B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab,
LNT,Alliant Energy Corporation,38.87,$8.85B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt,
NCV,AllianzGI Convertible & Income Fund,6.41,$565.58M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv,
NCZ,AllianzGI Convertible & Income Fund II,5.71,$425.22M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz,
ACV,AllianzGI Diversified Income & Convertible Fund,19.47,$200.05M,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv,
NIE,AllianzGI Equity & Convertible Income Fund,19.03,$527.3M,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.77,$1.21B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj,
AWH,"Allied World Assurance Company Holdings, AG",53.22,$4.65B,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh,
ALSN,"Allison Transmission Holdings, Inc.",36,$5.85B,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn,
ALL,Allstate Corporation (The),82.18,$30.01B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all,
ALL^A,Allstate Corporation (The),25.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a,
ALL^B,Allstate Corporation (The),26.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b,
ALL^C,Allstate Corporation (The),26.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c,
ALL^D,Allstate Corporation (The),26.3675,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d,
ALL^E,Allstate Corporation (The),26.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e,
ALL^F,Allstate Corporation (The),26.008,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f,
ALLY,Ally Financial Inc.,21.69,$10.09B,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally,
ALLY^A,Ally Financial Inc.,25.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a,
ALJ,"Alon USA Energy, Inc.",12.28,$881.23M,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj,
ALDW,"Alon USA Partners, LP",9.66,$603.95M,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw,
AGD,Alpine Global Dynamic Dividend Fund,9.48,$118.97M,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd,
AWP,Alpine Global Premier Properties Fund,5.45,$465.47M,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp,
AOD,Alpine Total Dynamic Dividend Fund,8.14,$875.81M,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod,
RESI,Altisource Residential Corporation,14.24,$764.23M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/resi,
MO,Altria Group,75.34,$146.12B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo,
ACH,Aluminum Corporation of China Limited,12.55,$7.48B,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach,
AMBR,"Amber Road, Inc.",7.01,$188.75M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr,
ABEV,Ambev S.A.,5.34,$83.93B,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev,
AMC,"AMC Entertainment Holdings, Inc.",30.55,$3.99B,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc,
AMFW,Amec Plc Ord,6.16,$2.42B,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw,
AEE,Ameren Corporation,54.02,$13.11B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee,
AMRC,"Ameresco, Inc.",5.85,$265.56M,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc,
AMOV,"America Movil, S.A.B. de C.V.",12.68,$41.57B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,
AMX,"America Movil, S.A.B. de C.V.",12.71,$41.67B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx,
AAT,"American Assets Trust, Inc.",41.67,$1.93B,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat,
AXL,"American Axle & Manufacturing Holdings, Inc.",19.92,$1.52B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl,
ACC,American Campus Communities Inc,45.96,$6.13B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc,
AEO,"American Eagle Outfitters, Inc.",14.53,$2.64B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo,
AEP,"American Electric Power Company, Inc.",65.79,$32.35B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep,
AEL,American Equity Investment Life Holding Company,25.71,$2.27B,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael,
AXP,American Express Company,79.69,$71.82B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp,
AFA,"American Financial Group, Inc.",25.1655,n/a,2012,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afa,
AFG,"American Financial Group, Inc.",96.4,$8.39B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg,
AFGE,"American Financial Group, Inc.",25.38,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afge,
AFGH,"American Financial Group, Inc.",25.32,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afgh,
AFW,"American Financial Group, Inc.",25.58,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afw,
AMH,American Homes 4 Rent,22.3,$5.43B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh,
AMH^A,American Homes 4 Rent,28.44,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh^a,
AMH^B,American Homes 4 Rent,28.62,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b,
AMH^C,American Homes 4 Rent,27.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c,
AMH^D,American Homes 4 Rent,25.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^d,
AMH^E,American Homes 4 Rent,25.04,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^e,
AIG,"American International Group, Inc.",62.88,$61.43B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig,
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws,
AMID,"American Midstream Partners, LP",15.7,$511.62M,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid,
ARL,"American Realty Investors, Inc.",6.52,$101.15M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl,
ARA,"American Renal Associates Holdings, Inc",17.67,$545.91M,2016,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ara,
AWR,American States Water Company,42.63,$1.56B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr,
AMT,American Tower Corporation (REIT),114.02,$48.71B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt,
AMT^A,American Tower Corporation (REIT),107.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^a,
AMT^B,American Tower Corporation (REIT),107.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b,
AVD,American Vanguard Corporation,15.5,$455.53M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd,
AWK,American Water Works,76.01,$13.55B,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk,
APU,"AmeriGas Partners, L.P.",44.29,$4.12B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu,
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",132.41,$20.4B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp,
ABC,AmerisourceBergen Corporation (Holding Co),88.81,$19.3B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc,
ANFI,Amira Nature Foods Ltd,5.03,$150.09M,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi,
AMN,AMN Healthcare Services Inc,40.8,$1.95B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/amn,
AP,Ampco-Pittsburgh Corporation,13.35,$163.81M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap,
APH,Amphenol Corporation,70.95,$21.83B,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph,
BETR,"Amplify Snack Brands, inc.",7.99,$613.51M,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr,
AXR,AMREP Corporation,6.1,$49.28M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr,
AME,"AMTEK, Inc.",53.5,$12.28B,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame,
AFSI^A,"AmTrust Financial Services, Inc.",23.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a,
AFSI^B,"AmTrust Financial Services, Inc.",23.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b,
AFSI^C,"AmTrust Financial Services, Inc.",24.26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c,
AFSI^D,"AmTrust Financial Services, Inc.",24.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d,
AFSI^E,"AmTrust Financial Services, Inc.",24.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e,
AFSI^F,"AmTrust Financial Services, Inc.",22.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f,
AFSS,"AmTrust Financial Services, Inc.",24.74,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss,
AFST,"AmTrust Financial Services, Inc.",25,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst,
AEUA,Anadarko Petroleum Corporation,42.26,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua,
APC,Anadarko Petroleum Corporation,61.81,$34.55B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc,
AU,AngloGold Ashanti Limited,9.84,$4.01B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au,
BUD,Anheuser-Busch Inbev SA,107.24,$207.37B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud,
AXE,Anixter International Inc.,79.5,$2.63B,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe,
NLY,Annaly Capital Management Inc,10.8,$11B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly,
NLY^A,Annaly Capital Management Inc,25.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^a,
NLY^C,Annaly Capital Management Inc,24.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c,
NLY^D,Annaly Capital Management Inc,24.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d,
NLY^E,Annaly Capital Management Inc,24.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e,
AM,Antero Midstream Partners LP,34.71,$6.45B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am,
AR,Antero Resources Corporation,23.57,$7.42B,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar,
ANTM,"Anthem, Inc.",165.18,$43.67B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm,
ANTX,"Anthem, Inc.",50.0358,$13.23B,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx,
ANH,Anworth Mortgage Asset  Corporation,5.4,$517.16M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh,
ANH^A,Anworth Mortgage Asset  Corporation,25.7221,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a,
ANH^B,Anworth Mortgage Asset  Corporation,26.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b,
ANH^C,Anworth Mortgage Asset  Corporation,24.7984,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c,
AON,Aon plc,118.42,$31.1B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon,
APA,Apache Corporation,50.33,$19.11B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa,
AIV,Apartment Investment and Management Company,43.11,$6.77B,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv,
AIV^A,Apartment Investment and Management Company,26.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a,
ARI,Apollo Commercial Real Estate Finance,17.79,$1.63B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari,
ARI^A,Apollo Commercial Real Estate Finance,25.63,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a,
ARI^C,Apollo Commercial Real Estate Finance,25.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c,
APO,"Apollo Global Management, LLC",23.32,$9.39B,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo,
APO^A,"Apollo Global Management, LLC",24.7377,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apo^a,
AIB,Apollo Investment Corporation,25.319,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib,
AIY,Apollo Investment Corporation,25.71,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy,
AFT,Apollo Senior Floating Rate Fund Inc.,17.38,$270.66M,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft,
AIF,Apollo Tactical Income Fund Inc.,16.39,$237.07M,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif,
APLE,"Apple Hospitality REIT, Inc.",18.77,$4.18B,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple,
AIT,"Applied Industrial Technologies, Inc.",59.7,$2.33B,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait,
ATR,"AptarGroup, Inc.",76.53,$4.77B,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr,
WTR,"Aqua America, Inc.",31.09,$5.52B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr,
WAAS,AquaVenture Holdings Limited,16.49,$435.14M,2016,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/waas,
ARMK,Aramark,36.5,$8.99B,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk,
ABR,Arbor Realty Trust,7.66,$393.73M,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr,
